location,Basel
lat,47.54694
lon,7.56892
asl,283.697
variable,Temperature
unit,°C
level,2 m elevation corrected
resolution,hourly
aggregation,None
timestamp,Basel Temperature [2 m elevation corrected]
20190501T0000,12.090529
20190501T0100,10.340529
20190501T0200,9.250529
20190501T0300,8.480529
20190501T0400,7.4105287
20190501T0500,6.3105288
20190501T0600,5.5105286
20190501T0700,5.4805284
20190501T0800,7.6505284
20190501T0900,10.270529
20190501T1000,12.780529
20190501T1100,14.740529
20190501T1200,16.270529
20190501T1300,17.40053
20190501T1400,18.280529
20190501T1500,19.010529
20190501T1600,19.23053
20190501T1700,19.330528
20190501T1800,19.030529
20190501T1900,18.82053
20190501T2000,18.180529
20190501T2100,16.64053
20190501T2200,15.540529
20190501T2300,14.740529
20190502T0000,14.080529
20190502T0100,13.5505295
20190502T0200,12.900529
20190502T0300,11.710529
20190502T0400,10.960529
20190502T0500,10.5505295
20190502T0600,10.170529
20190502T0700,9.680529
20190502T0800,10.820529
20190502T0900,12.920529
20190502T1000,15.250529
20190502T1100,17.660528
20190502T1200,18.690529
20190502T1300,17.780529
20190502T1400,16.690529
20190502T1500,12.830529
20190502T1600,13.620529
20190502T1700,13.840529
20190502T1800,13.750529
20190502T1900,13.390529
20190502T2000,12.830529
20190502T2100,11.710529
20190502T2200,10.990529
20190502T2300,9.910529
20190503T0000,9.600529
20190503T0100,9.200529
20190503T0200,9.060529
20190503T0300,8.870529
20190503T0400,8.970529
20190503T0500,8.950529
20190503T0600,8.660529
20190503T0700,8.290529
20190503T0800,8.590529
20190503T0900,9.830529
20190503T1000,10.780529
20190503T1100,11.530529
20190503T1200,11.860529
20190503T1300,13.340529
20190503T1400,13.070529
20190503T1500,13.560529
20190503T1600,13.870529
20190503T1700,14.510529
20190503T1800,13.530529
20190503T1900,13.260529
20190503T2000,12.620529
20190503T2100,11.630529
20190503T2200,10.780529
20190503T2300,10.030529
20190504T0000,9.490529
20190504T0100,8.920529
20190504T0200,8.120529
20190504T0300,7.1505284
20190504T0400,7.3805285
20190504T0500,7.4905286
20190504T0600,7.6705284
20190504T0700,8.860529
20190504T0800,9.660529
20190504T0900,10.150529
20190504T1000,10.580529
20190504T1100,10.700529
20190504T1200,10.810529
20190504T1300,12.200529
20190504T1400,11.630529
20190504T1500,3.6905286
20190504T1600,2.7505286
20190504T1700,3.7405286
20190504T1800,2.2205286
20190504T1900,3.5805285
20190504T2000,3.2305286
20190504T2100,2.8605285
20190504T2200,2.7205286
20190504T2300,2.4205287
20190505T0000,2.8805285
20190505T0100,2.1005285
20190505T0200,0.68052864
20190505T0300,0.30052868
20190505T0400,0.030528657
20190505T0500,-0.059471346
20190505T0600,-0.51947135
20190505T0700,-0.6194713
20190505T0800,0.5105286
20190505T0900,1.8805287
20190505T1000,3.8005285
20190505T1100,5.8505287
20190505T1200,6.9805284
20190505T1300,7.8405285
20190505T1400,10.270529
20190505T1500,10.720529
20190505T1600,10.670529
20190505T1700,10.380529
20190505T1800,10.070529
20190505T1900,9.510529
20190505T2000,8.810529
20190505T2100,7.6505284
20190505T2200,6.3505287
20190505T2300,5.6005287
20190506T0000,4.7305284
20190506T0100,3.7405286
20190506T0200,3.1505284
20190506T0300,3.0405285
20190506T0400,3.1105285
20190506T0500,2.7305286
20190506T0600,2.0905285
20190506T0700,2.6205285
20190506T0800,3.9205287
20190506T0900,5.6605287
20190506T1000,7.4605284
20190506T1100,8.650529
20190506T1200,9.730529
20190506T1300,9.990529
20190506T1400,11.350529
20190506T1500,11.990529
20190506T1600,12.500529
20190506T1700,12.600529
20190506T1800,12.380529
20190506T1900,12.000529
20190506T2000,11.400529
20190506T2100,10.450529
20190506T2200,9.490529
20190506T2300,8.660529
20190507T0000,7.7305284
20190507T0100,6.4005284
20190507T0200,5.6405287
20190507T0300,5.0505285
20190507T0400,4.3105288
20190507T0500,4.0105286
20190507T0600,3.9005284
20190507T0700,4.2405286
20190507T0800,5.8305287
20190507T0900,8.040529
20190507T1000,10.540529
20190507T1100,11.940529
20190507T1200,13.330529
20190507T1300,14.410529
20190507T1400,15.350529
20190507T1500,16.180529
20190507T1600,16.670528
20190507T1700,16.910528
20190507T1800,16.780529
20190507T1900,16.47053
20190507T2000,15.920529
20190507T2100,15.030529
20190507T2200,14.370529
20190507T2300,13.970529
20190508T0000,13.080529
20190508T0100,11.130529
20190508T0200,10.600529
20190508T0300,13.020529
20190508T0400,13.000529
20190508T0500,12.360529
20190508T0600,11.630529
20190508T0700,12.200529
20190508T0800,11.060529
20190508T0900,10.970529
20190508T1000,11.230529
20190508T1100,12.030529
20190508T1200,12.160529
20190508T1300,12.090529
20190508T1400,12.510529
20190508T1500,12.740529
20190508T1600,12.890529
20190508T1700,12.600529
20190508T1800,11.900529
20190508T1900,11.980529
20190508T2000,10.210529
20190508T2100,9.960529
20190508T2200,10.3005295
20190508T2300,10.180529
20190509T0000,9.0505295
20190509T0100,8.840529
20190509T0200,8.770529
20190509T0300,8.270529
20190509T0400,7.8305287
20190509T0500,7.9405284
20190509T0600,8.590529
20190509T0700,9.990529
20190509T0800,11.210529
20190509T0900,12.5505295
20190509T1000,13.390529
20190509T1100,13.780529
20190509T1200,13.870529
20190509T1300,14.020529
20190509T1400,14.190529
20190509T1500,14.180529
20190509T1600,14.100529
20190509T1700,13.850529
20190509T1800,13.640529
20190509T1900,13.680529
20190509T2000,12.840529
20190509T2100,11.680529
20190509T2200,10.950529
20190509T2300,10.340529
20190510T0000,11.110529
20190510T0100,10.560529
20190510T0200,10.760529
20190510T0300,8.920529
20190510T0400,8.020529
20190510T0500,7.2805285
20190510T0600,7.1605287
20190510T0700,8.180529
20190510T0800,10.570529
20190510T0900,12.190529
20190510T1000,12.540529
20190510T1100,14.350529
20190510T1200,14.220529
20190510T1300,14.840529
20190510T1400,15.710529
20190510T1500,15.8005295
20190510T1600,16.690529
20190510T1700,17.030529
20190510T1800,17.21053
20190510T1900,17.20053
20190510T2000,16.79053
20190510T2100,15.190529
20190510T2200,13.420529
20190510T2300,11.750529
20190511T0000,11.260529
20190511T0100,11.3005295
20190511T0200,13.740529
20190511T0300,13.320529
20190511T0400,13.570529
20190511T0500,14.400529
20190511T0600,14.0505295
20190511T0700,14.420529
20190511T0800,14.830529
20190511T0900,14.660529
20190511T1000,14.630529
20190511T1100,15.180529
20190511T1200,15.080529
20190511T1300,14.900529
20190511T1400,15.260529
20190511T1500,13.900529
20190511T1600,13.810529
20190511T1700,13.310529
20190511T1800,12.190529
20190511T1900,10.020529
20190511T2000,9.280529
20190511T2100,9.750529
20190511T2200,9.870529
20190511T2300,9.970529
20190512T0000,9.120529
20190512T0100,8.610529
20190512T0200,7.7805285
20190512T0300,7.290529
20190512T0400,7.0305285
20190512T0500,6.6705284
20190512T0600,5.9605284
20190512T0700,6.2305284
20190512T0800,7.6105285
20190512T0900,8.220529
20190512T1000,9.180529
20190512T1100,10.200529
20190512T1200,11.3005295
20190512T1300,12.210529
20190512T1400,13.760529
20190512T1500,14.180529
20190512T1600,14.200529
20190512T1700,14.140529
20190512T1800,14.020529
20190512T1900,13.740529
20190512T2000,13.070529
20190512T2100,11.290529
20190512T2200,9.780529
20190512T2300,8.5505295
20190513T0000,7.6205287
20190513T0100,6.4305286
20190513T0200,5.1405287
20190513T0300,3.8905284
20190513T0400,2.6405284
20190513T0500,1.7205287
20190513T0600,1.2005286
20190513T0700,1.7005286
20190513T0800,3.3605285
20190513T0900,5.7805285
20190513T1000,9.060529
20190513T1100,13.610529
20190513T1200,14.650529
20190513T1300,15.440529
20190513T1400,16.610529
20190513T1500,16.95053
20190513T1600,17.080528
20190513T1700,16.930529
20190513T1800,16.600529
20190513T1900,16.05053
20190513T2000,15.210529
20190513T2100,13.620529
20190513T2200,11.360529
20190513T2300,10.090529
20190514T0000,8.660529
20190514T0100,7.4805284
20190514T0200,5.8705287
20190514T0300,3.9705286
20190514T0400,3.6205285
20190514T0500,3.2905285
20190514T0600,2.5505285
20190514T0700,3.0005286
20190514T0800,4.2605286
20190514T0900,7.1405287
20190514T1000,11.770529
20190514T1100,12.490529
20190514T1200,12.950529
20190514T1300,13.600529
20190514T1400,15.390529
20190514T1500,15.600529
20190514T1600,15.370529
20190514T1700,15.500529
20190514T1800,15.440529
20190514T1900,14.900529
20190514T2000,14.140529
20190514T2100,12.290529
20190514T2200,10.430529
20190514T2300,8.930529
20190515T0000,7.5905285
20190515T0100,6.4005284
20190515T0200,4.7205286
20190515T0300,3.6505284
20190515T0400,3.1305285
20190515T0500,2.6705287
20190515T0600,2.3705285
20190515T0700,2.3405285
20190515T0800,3.5305285
20190515T0900,5.0505285
20190515T1000,7.3605285
20190515T1100,9.880529
20190515T1200,12.510529
20190515T1300,14.110529
20190515T1400,15.040529
20190515T1500,15.580529
20190515T1600,15.910529
20190515T1700,16.020529
20190515T1800,16.000528
20190515T1900,15.400529
20190515T2000,14.480529
20190515T2100,13.030529
20190515T2200,11.360529
20190515T2300,9.540529
20190516T0000,7.7605286
20190516T0100,6.6005287
20190516T0200,5.8605285
20190516T0300,5.290529
20190516T0400,4.7205286
20190516T0500,4.2605286
20190516T0600,3.6405284
20190516T0700,3.6205285
20190516T0800,4.9005284
20190516T0900,7.0505285
20190516T1000,9.900529
20190516T1100,12.200529
20190516T1200,13.5505295
20190516T1300,14.360529
20190516T1400,15.260529
20190516T1500,15.370529
20190516T1600,15.690529
20190516T1700,16.04053
20190516T1800,16.080528
20190516T1900,15.780529
20190516T2000,15.230529
20190516T2100,14.160529
20190516T2200,13.200529
20190516T2300,12.380529
20190517T0000,11.780529
20190517T0100,11.200529
20190517T0200,10.020529
20190517T0300,9.310529
20190517T0400,8.170529
20190517T0500,7.8305287
20190517T0600,7.6405287
20190517T0700,8.440529
20190517T0800,10.130529
20190517T0900,12.520529
20190517T1000,14.920529
20190517T1100,16.920528
20190517T1200,18.32053
20190517T1300,18.990528
20190517T1400,18.38053
