start,end,amount,charging_hours,mean_power
2019-07-30 08:04:00,2019-07-30 09:35:00,9.6413,1.5166666666666666,6.356901098901099
2019-07-31 12:28:00,2019-07-31 13:25:00,6.271783332999999,0.95,6.601877192631578
2019-07-31 15:50:00,2019-07-31 17:08:00,8.20085,1.3,6.308346153846155
2019-08-01 19:21:00,2019-08-01 20:21:00,6.123266667,1.0,6.123266667
2019-08-02 17:30:00,2019-08-02 18:37:00,7.04085,1.1166666666666667,6.3052388059701485
2019-08-03 15:36:00,2019-08-03 16:56:00,8.399166667000001,1.3333333333333333,6.299375000250001
2019-08-04 18:55:00,2019-08-04 21:02:00,13.82931667,2.1166666666666667,6.533535434645669
2019-08-07 14:35:00,2019-08-07 16:26:00,11.90248333,1.85,6.433774772972973
2019-08-09 21:35:00,2019-08-09 23:18:00,11.02828333,1.7166666666666666,6.424242716504855
2019-08-10 20:42:00,2019-08-10 22:13:00,9.697083333,1.5166666666666666,6.393681318461539
2019-08-16 10:15:00,2019-08-16 11:47:00,9.772666667000001,1.5333333333333334,6.373478261086957
2019-08-21 14:58:00,2019-08-21 16:47:00,11.65643333,1.8166666666666667,6.416385319266055
2019-08-22 19:29:00,2019-08-22 21:01:00,9.878666667000001,1.5333333333333334,6.442608695869565
2019-08-26 18:55:00,2019-08-26 20:33:00,10.39561667,1.6333333333333333,6.364663267346939
2019-08-27 17:44:00,2019-08-27 19:09:00,9.04855,1.4166666666666667,6.387211764705882
2019-08-28 14:50:00,2019-08-28 16:14:00,9.005633332999999,1.4,6.432595237857142
2019-08-29 14:09:00,2019-08-29 15:12:00,6.483633332999999,1.05,6.174888888571427
2019-09-01 11:40:00,2019-09-01 12:44:00,6.7085166670000005,1.0666666666666667,6.289234375312501
2019-09-02 16:35:00,2019-09-02 17:37:00,6.413966667,1.0333333333333334,6.207064516451613
2019-09-04 14:35:00,2019-09-04 16:03:00,9.3306,1.4666666666666666,6.3617727272727285
2019-09-10 11:55:00,2019-09-10 13:43:00,11.6005,1.8,6.4447222222222225
2019-09-11 18:03:00,2019-09-11 19:30:00,9.157816667,1.45,6.315735632413793
2019-09-13 13:13:00,2019-09-13 14:32:00,8.287533332999999,1.3166666666666667,6.294329113670885
2019-09-15 16:01:00,2019-09-15 17:30:00,9.4663,1.4833333333333334,6.381775280898877
2019-09-16 17:48:00,2019-09-16 19:37:00,11.69445,1.8166666666666667,6.4373119266055046
2019-09-18 08:46:00,2019-09-18 10:14:00,9.333716667000001,1.4666666666666666,6.363897727500001
2019-09-18 18:25:00,2019-09-18 19:28:00,6.496733333,1.05,6.187365079047619
2019-09-19 17:12:00,2019-09-19 18:26:00,7.7061,1.2333333333333334,6.248189189189189
2019-09-21 12:45:00,2019-09-21 14:02:00,8.115633333,1.2833333333333334,6.323870129610389
2019-09-24 14:54:00,2019-09-24 16:24:00,9.64035,1.5,6.4269
2019-09-27 17:20:00,2019-09-27 18:47:00,9.121566667,1.45,6.290735632413793
2019-09-28 20:35:00,2019-09-28 22:23:00,11.61408333,1.8,6.452268516666666
2019-09-30 10:00:00,2019-09-30 11:11:00,7.8694,1.1833333333333333,6.650197183098591
2019-09-30 16:03:00,2019-09-30 17:25:00,8.736,1.3666666666666667,6.39219512195122
2019-10-01 11:50:00,2019-10-01 12:44:00,5.935966667000001,0.9,6.595518518888889
2019-10-01 12:54:00,2019-10-01 14:09:00,7.75515,1.25,6.2041200000000005
2019-10-03 10:09:00,2019-10-03 11:56:00,11.4181,1.7833333333333334,6.402672897196262
2019-10-05 11:07:00,2019-10-05 12:01:00,6.0329999999999995,0.9,6.703333333333332
2019-10-05 15:26:00,2019-10-05 16:47:00,8.435366667,1.35,6.248419753333333
2019-10-07 20:21:00,2019-10-07 22:06:00,11.25291667,1.75,6.4302380971428565
