number,27_starttime,27_endtime,27_amount,1222_starttime,1222_endtime,1222_amount,5679_starttime,5679_endtime,5679_amount,9053_starttime,9053_endtime,9053_amount
28,2019/5/29 19:43,2019/5/29 21:56,7.09605,2019/5/13 6:53,2019/5/13 7:45,1.470766667,2019/6/12 18:18,2019/6/12 19:55,10.26511667,2019/5/23 16:26,2019/5/23 16:47,0.142516667
29,2019/5/30 15:51,2019/5/30 16:57,3.380933333,2019/5/13 20:53,2019/5/13 22:12,6.561916667,2019/6/13 17:02,2019/6/13 18:34,9.829766667,2019/5/23 20:17,2019/5/23 21:00,0.086766667
30,2019/5/31 15:32,2019/5/31 18:12,8.691583333,2019/5/14 0:10,2019/5/14 0:24,0.430116667,2019/6/15 16:52,2019/6/15 18:14,8.693816667,2019/5/23 22:03,2019/5/23 22:52,0.09995
31,2019/6/1 22:10,2019/6/2 0:03,5.970316667,2019/5/14 7:28,2019/5/14 7:39,0.930516667,2019/6/19 14:40,2019/6/19 16:09,9.3727,2019/5/23 23:55,2019/5/24 0:43,0.098183333
32,2019/6/2 15:12,2019/6/2 17:13,6.402533333,2019/5/14 17:18,2019/5/14 18:53,8.682383333,2019/6/21 10:13,2019/6/21 11:41,9.212433333,2019/5/24 1:46,2019/5/24 2:35,0.100366667
33,2019/6/3 16:19,2019/6/3 17:45,4.445033333,2019/5/14 22:00,2019/5/14 22:13,0.4231,2019/6/24 15:16,2019/6/24 16:31,7.90135,2019/5/24 3:38,2019/5/24 4:21,0.087316667
34,2019/6/4 19:48,2019/6/4 21:41,5.950683333,2019/5/15 7:34,2019/5/15 7:49,0.9106,2019/6/25 17:28,2019/6/25 19:23,12.55813333,2019/5/24 18:05,2019/5/24 18:27,0.042133333
35,2019/6/5 18:06,2019/6/5 20:38,8.196233333,2019/5/15 17:26,2019/5/15 18:26,4.729633333,2019/6/26 14:56,2019/6/26 16:35,10.73683333,2019/5/24 19:32,2019/5/24 20:15,0.088666667
36,2019/6/6 4:28,2019/6/6 7:10,8.78055,2019/5/16 7:43,2019/5/16 7:57,0.907333333,2019/6/27 4:50,2019/6/27 5:31,4.014033333,2019/5/24 21:18,2019/5/24 21:58,0.084133333
37,2019/6/8 21:38,2019/6/9 0:02,7.722,2019/5/16 18:25,2019/5/16 19:46,6.848733333,2019/6/27 16:47,2019/6/27 18:29,10.84363333,2019/5/24 23:01,2019/5/24 23:40,0.07555
38,2019/6/9 20:25,2019/6/9 22:18,5.977983333,2019/5/17 7:26,2019/5/17 7:33,0.481833333,2019/6/29 13:42,2019/6/29 15:08,9.417,2019/5/25 0:41,2019/5/25 1:22,0.07775
39,2019/6/14 12:54,2019/6/14 15:49,9.496666667,2019/5/18 16:20,2019/5/18 17:16,4.227516667,2019/6/30 4:52,2019/6/30 6:19,9.2179,2019/5/25 2:28,2019/5/25 3:07,0.074883333
40,2019/6/15 13:51,2019/6/15 16:02,7.287933333,2019/5/19 16:31,2019/5/19 17:31,4.9687,2019/6/30 16:23,2019/6/30 17:43,8.51055,2019/5/25 4:11,2019/5/25 4:49,0.072283333
41,2019/6/15 17:28,2019/6/15 20:25,9.663983333,2019/5/20 17:30,2019/5/20 18:36,5.416533333,2019/7/2 10:43,2019/7/2 11:54,7.391316667,2019/5/25 5:53,2019/5/25 6:31,0.06905
42,2019/6/16 16:29,2019/6/16 18:48,7.529183333,2019/5/21 7:49,2019/5/21 8:04,0.961416667,2019/7/3 19:03,2019/7/3 20:15,7.525733333,2019/5/25 7:34,2019/5/25 8:14,0.0716
43,2019/6/18 16:40,2019/6/18 20:11,11.41028333,2019/5/21 17:23,2019/5/21 18:33,5.85565,2019/7/5 15:19,2019/7/5 16:23,6.51305,2019/5/25 9:18,2019/5/25 9:57,0.070216667
44,2019/6/19 19:19,2019/6/19 21:35,7.401633333,2019/5/22 17:05,2019/5/22 18:16,5.909783333,2019/7/6 13:08,2019/7/6 13:59,5.224983333,2019/5/25 10:59,2019/5/25 11:40,0.072416667
45,2019/6/20 18:59,2019/6/20 21:59,9.790266667,2019/5/27 20:26,2019/5/27 21:37,5.986583333,2019/7/6 20:50,2019/7/6 22:01,7.441033333,2019/5/25 12:43,2019/5/25 13:27,0.07895
46,2019/6/21 21:05,2019/6/21 23:08,6.589066667,2019/5/28 17:21,2019/5/28 18:29,5.4822,2019/7/9 12:05,2019/7/9 13:29,8.8767,2019/5/25 14:27,2019/5/25 15:14,0.08515
47,2019/6/22 17:18,2019/6/22 19:23,6.71155,2019/5/29 17:59,2019/5/29 19:13,6.34085,2019/7/10 15:04,2019/7/10 16:50,11.31491667,2019/5/26 1:09,2019/5/26 1:25,0.027633333
48,2019/6/24 13:07,2019/6/24 15:19,7.08145,2019/5/30 18:51,2019/5/30 20:04,6.029,2019/7/12 19:49,2019/7/12 21:07,8.209016667,2019/5/26 1:31,2019/5/26 2:34,0.292683333
49,2019/6/25 12:47,2019/6/25 15:14,7.5819,2019/5/31 19:02,2019/5/31 19:53,4.109316667,2019/7/13 10:23,2019/7/13 11:21,5.906166667,2019/5/26 3:02,2019/5/26 3:49,0.08435
50,2019/6/26 13:06,2019/6/26 15:34,7.454816667,2019/6/1 13:56,2019/6/1 14:54,4.633733333,2019/7/14 19:39,2019/7/14 21:29,11.93243333,2019/5/26 4:49,2019/5/26 5:19,0.05485
51,2019/6/26 19:33,2019/6/26 21:13,5.2509,2019/6/9 17:02,2019/6/9 17:47,3.27805,2019/7/16 12:24,2019/7/16 13:41,8.10545,2019/5/27 21:20,2019/5/28 6:31,13.40586667
52,2019/6/26 21:16,2019/6/26 21:25,0.215966667,2019/6/11 18:06,2019/6/11 19:18,5.95265,2019/7/17 14:38,2019/7/17 16:01,8.732566667,2019/5/28 9:23,2019/5/28 9:25,0.002716667
53,2019/6/27 14:07,2019/6/27 16:17,7.015633333,2019/6/12 17:56,2019/6/12 19:00,5.086066667,2019/7/18 23:02,2019/7/19 0:25,8.685733333,2019/5/28 17:25,2019/5/28 17:26,0.00015
54,2019/6/28 13:37,2019/6/28 14:48,3.9341,2019/6/13 17:47,2019/6/13 18:24,3.726783333,2019/7/19 14:31,2019/7/19 16:25,12.20015,2019/5/28 18:26,2019/5/28 18:42,0.027133333
55,2019/6/28 16:56,2019/6/28 20:21,10.87268333,2019/6/13 19:21,2019/6/13 20:07,3.320916667,2019/7/22 18:40,2019/7/22 20:00,8.45005,2019/5/28 19:52,2019/5/28 20:36,0.076
56,2019/6/30 9:45,2019/6/30 11:56,7.074683333,2019/6/14 17:50,2019/6/14 18:58,5.478166667,2019/7/23 14:34,2019/7/23 15:36,6.41655,2019/5/28 20:37,2019/5/28 20:38,0.00165
57,2019/7/2 13:16,2019/7/2 14:46,4.99785,2019/6/15 14:05,2019/6/15 14:59,3.991583333,2019/7/25 19:16,2019/7/25 20:25,7.138733333,2019/5/28 20:39,2019/5/28 20:40,0.00165
58,2019/7/2 16:42,2019/7/2 19:47,10.12176667,2019/6/15 20:18,2019/6/15 21:15,4.626,2019/7/27 11:13,2019/7/27 12:29,7.93205,2019/5/28 22:06,2019/5/28 22:46,0.070966667
59,2019/7/2 19:50,2019/7/2 20:00,0.27575,2019/6/16 13:06,2019/6/16 13:39,2.039366667,2019/7/27 19:29,2019/7/27 21:15,11.43575,2019/5/28 22:47,2019/5/28 22:48,0.00165
60,2019/7/3 19:03,2019/7/3 19:37,1.82235,2019/6/16 16:17,2019/6/16 17:24,5.301833333,2019/7/30 8:04,2019/7/30 9:35,9.6413,2019/5/28 22:49,2019/5/28 22:50,0.00165
61,2019/7/3 22:02,2019/7/4 1:38,11.83218333,2019/6/18 17:51,2019/6/18 19:18,7.843983333,2019/7/31 12:28,2019/7/31 13:25,6.271783333,2019/5/28 22:51,2019/5/28 22:52,0.00165
62,2019/7/5 14:52,2019/7/5 18:49,12.63421667,2019/6/19 17:33,2019/6/19 18:32,4.893083333,2019/7/31 15:50,2019/7/31 17:08,8.20085,2019/5/28 22:53,2019/5/28 22:54,0.00165
63,2019/7/8 16:23,2019/7/8 18:15,5.58695,2019/6/20 12:28,2019/6/20 12:54,2.807033333,2019/8/1 19:21,2019/8/1 20:21,6.123266667,2019/5/28 22:55,2019/5/28 23:02,0.011716667
64,2019/7/9 9:20,2019/7/9 11:56,8.415633333,2019/6/20 19:00,2019/6/20 20:49,11.0965,2019/8/2 17:30,2019/8/2 18:37,7.04085,2019/5/29 0:15,2019/5/29 1:13,0.101083333
65,2019/7/10 19:22,2019/7/10 21:55,8.312483333,2019/6/22 8:56,2019/6/22 9:49,4.1865,2019/8/3 15:36,2019/8/3 16:56,8.399166667,2019/5/29 14:21,2019/5/29 16:16,0.09985
66,2019/7/11 16:19,2019/7/11 18:36,7.3963,2019/7/9 19:05,2019/7/9 20:47,11.54538333,2019/8/4 18:55,2019/8/4 21:02,13.82931667,2019/5/29 18:00,2019/5/30 5:27,16.83878333
67,2019/7/12 18:34,2019/7/12 20:59,7.836083333,2019/7/9 21:07,2019/7/9 21:59,4.686166667,2019/8/7 14:35,2019/8/7 16:26,11.90248333,2019/5/30 10:31,2019/5/30 10:32,0.00015
68,2019/7/13 17:39,2019/7/13 20:29,8.999966667,2019/7/10 17:16,2019/7/10 18:19,5.196533333,2019/8/9 21:35,2019/8/9 23:18,11.02828333,2019/5/31 17:19,2019/5/31 17:23,0.073016667
69,2019/7/14 15:30,2019/7/14 17:50,7.13885,2019/7/11 16:27,2019/7/11 16:48,2.197566667,2019/8/10 20:42,2019/8/10 22:13,9.697083333,2019/6/1 16:04,2019/6/1 16:06,0.0064
70,2019/7/15 19:09,2019/7/15 21:22,7.2443,2019/7/11 21:02,2019/7/11 22:33,8.752433333,2019/8/16 10:15,2019/8/16 11:47,9.772666667,2019/6/1 16:07,2019/6/1 16:09,0.004866667
71,2019/7/15 21:25,2019/7/15 21:34,0.22605,2019/7/12 22:16,2019/7/13 0:51,16.46945,2019/8/21 14:58,2019/8/21 16:47,11.65643333,2019/6/1 16:10,2019/6/1 16:16,0.069216667
72,2019/7/17 16:57,2019/7/17 18:53,6.237766667,2019/7/14 12:52,2019/7/14 13:00,0.02295,2019/8/22 19:29,2019/8/22 21:01,9.878666667,2019/6/4 16:56,2019/6/4 16:57,6.67E-05
73,2019/7/19 18:51,2019/7/19 22:02,10.07503333,2019/7/14 14:52,2019/7/14 15:47,4.882216667,2019/8/26 18:55,2019/8/26 20:33,10.39561667,2019/6/4 18:00,2019/6/5 2:58,12.98521667
74,2019/7/20 22:05,2019/7/21 0:37,8.262833333,2019/7/14 17:26,2019/7/14 17:49,1.560933333,2019/8/27 17:44,2019/8/27 19:09,9.04855,2019/6/6 16:41,2019/6/6 16:42,0.0013
75,2019/7/21 0:40,2019/7/21 0:52,0.292416667,2019/7/15 17:18,2019/7/15 18:15,5.002416667,2019/8/28 14:50,2019/8/28 16:14,9.005633333,2019/6/6 17:59,2019/6/7 6:32,18.14053333
76,2019/7/21 16:21,2019/7/21 18:42,7.32605,2019/7/16 16:30,2019/7/16 16:35,0.4233,2019/8/29 14:09,2019/8/29 15:12,6.483633333,2019/6/8 18:04,2019/6/8 18:08,0.005866667
77,2019/7/22 16:18,2019/7/22 17:31,3.76415,2019/7/16 18:10,2019/7/16 19:48,9.515333333,2019/9/1 11:40,2019/9/1 12:44,6.708516667,2019/6/13 16:21,2019/6/13 16:22,0.001383333
78,2019/7/23 10:16,2019/7/23 11:33,4.0302,2019/7/17 16:28,2019/7/17 17:41,6.377733333,2019/9/2 16:35,2019/9/2 17:37,6.413966667,2019/6/13 17:59,2019/6/14 5:10,16.2699
79,2019/7/24 19:14,2019/7/24 21:40,7.87535,2019/7/18 17:02,2019/7/18 17:20,1.85245,2019/9/4 14:35,2019/9/4 16:03,9.3306,2019/6/16 14:58,2019/6/16 14:59,0.001616667
80,2019/7/25 13:37,2019/7/25 15:58,7.19865,2019/7/18 20:10,2019/7/18 21:13,5.668533333,2019/9/10 11:55,2019/9/10 13:43,11.6005,2019/6/16 23:19,2019/6/16 23:34,0.025283333
81,2019/7/25 19:41,2019/7/25 22:08,7.966583333,2019/7/19 17:31,2019/7/19 19:01,8.79455,2019/9/11 18:03,2019/9/11 19:30,9.157816667,2019/6/17 2:57,2019/6/17 3:10,0.022033333
82,2019/7/27 16:52,2019/7/27 17:23,1.685233333,2019/7/20 13:45,2019/7/20 14:21,2.517466667,2019/9/13 13:13,2019/9/13 14:32,8.287533333,2019/6/17 17:28,2019/6/17 17:33,0.09405
83,2019/7/28 19:58,2019/7/28 21:05,3.693383333,2019/7/20 22:42,2019/7/20 23:30,3.969983333,2019/9/15 16:01,2019/9/15 17:30,9.4663,2019/6/18 5:37,2019/6/18 7:02,2.0027
84,2019/7/28 21:11,2019/7/28 22:05,2.67605,2019/7/21 16:51,2019/7/21 17:52,5.331316667,2019/9/16 17:48,2019/9/16 19:37,11.69445,2019/6/18 13:44,2019/6/18 14:18,0.173866667
85,2019/7/29 15:54,2019/7/29 16:15,1.085916667,2019/8/28 17:51,2019/8/28 19:27,9.645283333,2019/9/18 8:46,2019/9/18 10:14,9.333716667,2019/6/18 14:48,2019/6/18 15:08,0.110433333
86,2019/7/29 17:15,2019/7/29 20:23,10.24058333,2019/8/29 7:19,2019/8/29 7:31,0.718683333,2019/9/18 18:25,2019/9/18 19:28,6.496733333,2019/6/18 15:50,2019/6/18 15:51,0.00165
87,2019/7/30 16:05,2019/7/30 17:31,4.566266667,2019/8/29 19:21,2019/8/29 21:23,12.92983333,2019/9/19 17:12,2019/9/19 18:26,7.7061,2019/6/18 16:35,2019/6/18 16:40,0.009166667
88,2019/7/30 17:46,2019/7/30 17:55,0.262783333,2019/8/30 8:38,2019/8/30 9:31,4.4886,2019/9/21 12:45,2019/9/21 14:02,8.115633333,2019/6/18 16:50,2019/6/18 16:55,0.075466667
89,2019/7/31 19:23,2019/7/31 21:26,6.612533333,2019/8/30 18:04,2019/8/30 18:11,0.657766667,2019/9/24 14:54,2019/9/24 16:24,9.64035,2019/6/18 16:56,2019/6/18 16:57,0.0007
90,2019/7/31 21:28,2019/7/31 21:37,0.174816667,2019/8/30 18:38,2019/8/30 19:37,5.440516667,2019/9/27 17:20,2019/9/27 18:47,9.121566667,2019/6/18 17:00,2019/6/18 17:05,0.078316667
91,2019/8/1 17:21,2019/8/1 19:52,8.185083333,2019/8/31 16:03,2019/8/31 17:17,7.2021,2019/9/28 20:35,2019/9/28 22:23,11.61408333,2019/6/18 17:06,2019/6/18 17:10,0.05185
92,2019/8/2 15:52,2019/8/2 18:04,7.1563,2019/8/31 21:46,2019/8/31 22:58,6.798616667,2019/9/30 10:00,2019/9/30 11:11,7.8694,2019/6/18 17:12,2019/6/18 17:18,0.06955
93,2019/8/2 18:14,2019/8/2 18:23,0.246733333,2019/9/1 10:56,2019/9/1 11:45,3.96165,2019/9/30 16:03,2019/9/30 17:25,8.736,2019/6/18 17:25,2019/6/18 17:27,0.00745
94,2019/8/4 19:27,2019/8/4 22:54,11.29443333,2019/9/1 19:35,2019/9/1 20:41,5.905866667,2019/10/1 11:50,2019/10/1 12:44,5.935966667,2019/6/18 17:28,2019/6/18 17:34,0.09005
95,2019/8/5 15:39,2019/8/5 17:02,3.983166667,2019/9/2 20:37,2019/9/2 21:31,4.784783333,2019/10/1 12:54,2019/10/1 14:09,7.75515,2019/6/18 17:38,2019/6/19 6:24,18.32765
96,2019/8/7 19:22,2019/8/7 21:38,7.355933333,2019/9/3 17:46,2019/9/3 19:08,7.801983333,2019/10/3 10:09,2019/10/3 11:56,11.4181,2019/6/19 7:09,2019/6/19 7:13,0.006466667
97,2019/8/8 16:18,2019/8/8 16:32,0.689716667,2019/9/4 7:41,2019/9/4 8:27,3.6413,2019/10/5 11:07,2019/10/5 12:01,6.033,2019/6/19 9:03,2019/6/19 9:07,0.005833333
98,2019/8/21 19:33,2019/8/21 22:01,7.692533333,2019/9/4 16:55,2019/9/4 18:11,6.99755,2019/10/5 15:26,2019/10/5 16:47,8.435366667,2019/6/19 21:37,2019/6/19 21:42,0.007283333
99,2019/8/22 17:56,2019/8/22 20:52,9.558616667,2019/9/5 16:34,2019/9/5 17:23,3.79355,2019/10/7 20:21,2019/10/7 22:06,11.25291667,2019/6/21 22:32,2019/6/22 11:07,18.4746
